

ORL
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
10		0.74		0.33		68.00		0.67		0.36		24.88
11		0.76		0.28		26.00		0.68		0.31		16.10
12		0.81		0.11		42.00		0.65		0.17		13.33
13		0.76		0.50		72.00		0.60		0.36		27.22
14		0.76		0.22		20.00		0.63		0.17		12.63
15		0.71		0.33		21.00		0.56		0.26		8.83
16		0.83		0.28		20.00		0.65		0.21		10.83
17		0.74		0.61		186.00		0.57		0.34		44.71
18		0.81		0.33		41.00		0.70		0.30		13.85
19		0.69		0.22		9.00		0.52		0.25		4.86
20		0.79		0.28		14.00		0.56		0.19		6.57
21		0.74		0.39		144.00		0.58		0.24		46.00
22		0.81		0.39		16.00		0.58		0.28		8.85
23		0.74		0.39		29.00		0.66		0.29		20.00
24		0.83		0.28		31.00		0.75		0.25		19.67
25		0.71		0.22		14.00		0.53		0.25		5.88
26		0.74		0.28		14.00		0.59		0.25		7.56
27		0.71		0.17		15.00		0.53		0.20		5.00
28		0.76		0.39		28.00		0.57		0.23		10.22
29		0.79		0.28		13.00		0.59		0.19		7.82
30		0.76		0.50		137.00		0.68		0.30		84.05
		0.77		0.33		57.17		0.61		0.25		21.32		12.43


TOX_171
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		0.99		0.75		25.00		0.78		0.58		9.27
2		0.96		0.85		60.00		0.82		0.69		16.32
3		0.98		0.83		32.00		0.86		0.71		16.06
4		0.97		0.79		39.00		0.82		0.62		14.79
5		0.96		0.90		78.00		0.80		0.75		24.82
6		0.98		0.81		118.00		0.87		0.68		54.77
7		0.97		0.75		216.00		0.91		0.74		52.75
8		0.96		0.81		29.00		0.82		0.68		13.00
9		0.99		0.88		73.00		0.89		0.74		26.53
10		0.97		0.88		21.00		0.88		0.75		12.50
11		0.98		0.85		23.00		0.82		0.68		12.39
12		0.95		0.83		25.00		0.84		0.65		13.28
13		0.97		0.85		103.00		0.83		0.75		23.58
14		0.97		0.88		55.00		0.84		0.72		18.04
15		0.98		0.79		46.00		0.88		0.72		20.00
16		0.98		0.73		75.00		0.90		0.70		26.20
17		0.97		0.90		54.00		0.81		0.69		19.95
18		0.95		0.90		94.00		0.83		0.68		18.21
19		0.99		0.85		34.00		0.85		0.67		11.18
20		0.97		0.81		48.00		0.79		0.64		13.13
21		0.98		0.73		27.00		0.91		0.66		16.45
22		0.95		0.75		43.00		0.85		0.72		28.25
23		0.97		0.90		31.00		0.79		0.70		12.06
24		0.97		0.85		127.00		0.86		0.73		59.90
25		0.96		0.79		23.00		0.84		0.65		13.00
26		0.97		0.88		57.00		0.88		0.76		34.52
27		0.97		0.83		59.00		0.86		0.66		17.54
28		0.97		0.83		37.00		0.84		0.74		14.13
29		0.97		0.81		39.00		0.83		0.73		12.36
30		0.97		0.88		115.00		0.88		0.77		51.43
		0.97		0.83		60.20		0.85		0.70		22.55		26.44


Brain1
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		0.97		0.64		19.00		0.82		0.72		6.13
2		0.97		0.68		27.00		0.93		0.69		16.74
3		0.95		0.86		14.00		0.84		0.69		5.20
4		0.97		0.64		15.00		0.83		0.57		4.25
5		1.00		0.79		10.00		0.91		0.76		6.92
6		0.97		0.71		11.00		0.96		0.73		30.80
7		0.95		0.79		8.00		0.85		0.76		5.17
8		0.98		0.86		43.00		0.94		0.73		18.05
9		0.97		0.82		31.00		0.95		0.78		18.50
10		0.97		0.86		10.00		0.89		0.71		7.00
11		0.97		0.79		21.00		0.87		0.69		8.71
12		1.00		0.86		10.00		0.84		0.72		4.64
13		0.97		0.93		11.00		0.85		0.74		5.14
14		0.98		0.68		24.00		0.96		0.70		12.81
15		0.95		0.79		40.00		0.90		0.76		25.26
16		0.94		0.89		39.00		0.88		0.78		25.14
17		0.95		0.68		17.00		0.90		0.66		11.43
18		0.98		0.71		22.00		0.88		0.80		8.45
19		0.97		0.75		18.00		0.87		0.68		6.88
20		0.95		0.75		38.00		0.94		0.73		29.10
21		0.94		0.89		18.00		0.84		0.72		10.79
22		0.97		0.71		12.00		0.87		0.74		6.11
23		0.97		0.86		40.00		0.87		0.76		14.18
24		0.95		0.93		31.00		0.91		0.79		18.10
25		0.97		0.71		51.00		0.95		0.78		31.06
26		0.94		0.82		12.00		0.87		0.75		7.86
27		0.97		0.64		10.00		0.89		0.63		5.56
28		0.97		0.82		23.00		0.93		0.80		10.57
29		0.97		0.71		10.00		0.92		0.66		7.62
30		0.97		0.86		116.00		0.93		0.85		76.60
		0.97		0.78		25.03		0.89		0.73		14.83		16.00


leukemia
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		1.00		0.91		2.00		1.00		0.86		19.14
2		1.00		0.86		2.00		1.00		0.93		17.94
3		1.00		0.82		4.00		1.00		0.91		16.64
4		1.00		0.95		8.00		1.00		0.91		14.57
5		1.00		0.91		2.00		1.00		0.91		12.76
6		1.00		0.91		2.00		0.99		0.91		14.01
7		1.00		0.95		4.00		1.00		0.94		19.62
8		1.00		0.82		2.00		1.00		0.85		16.16
9		1.00		0.91		3.00		0.99		0.92		19.76
10		1.00		0.95		11.00		1.00		0.95		16.81
11		1.00		0.82		15.00		1.00		0.88		18.43
12		1.00		0.91		3.00		1.00		0.95		23.79
13		1.00		0.68		3.00		1.00		0.92		15.19
14		1.00		0.86		2.00		1.00		0.89		15.27
15		1.00		0.95		3.00		1.00		0.91		15.25
16		1.00		0.91		4.00		1.00		0.90		14.17
17		1.00		0.95		2.00		1.00		0.89		17.98
18		1.00		0.86		2.00		1.00		0.89		12.20
19		1.00		0.68		2.00		1.00		0.98		17.69
20		1.00		0.95		3.00		1.00		0.97		18.82
21		1.00		0.91		12.00		0.99		0.94		20.12
22		1.00		0.82		2.00		1.00		0.90		19.55
23		1.00		0.91		2.00		1.00		0.92		14.46
24		1.00		0.86		2.00		1.00		0.93		17.72
25		1.00		0.91		3.00		1.00		0.94		18.49
26		1.00		0.95		12.00		1.00		0.95		17.25
27		1.00		0.95		11.00		0.99		0.92		13.05
28		1.00		0.95		4.00		0.99		0.94		10.08
29		1.00		0.91		2.00		1.00		0.93		19.45
30		1.00		1.00		4.00		1.00		0.92		17.23
		1.00		0.89		4.43		1.00		0.92		16.79		28.39


ALLAML
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		1.00		0.86		3.00		1.00		0.91		14.25
2		1.00		0.91		2.00		1.00		0.89		34.25
3		1.00		0.86		3.00		1.00		0.89		35.29
4		1.00		0.91		4.00		1.00		0.95		72.51
5		1.00		0.86		2.00		1.00		0.86		20.18
6		1.00		0.82		99.00		1.00		0.92		21.10
7		1.00		0.82		2.00		1.00		0.88		121.45
8		1.00		0.95		2.00		1.00		0.87		16.31
9		1.00		0.91		38.00		1.00		0.93		45.48
10		1.00		0.86		290.00		1.00		0.87		19.46
11		1.00		0.68		2.00		1.00		0.89		16.00
12		1.00		0.86		3.00		1.00		0.90		29.94
13		1.00		0.95		102.00		1.00		0.89		10.60
14		1.00		0.82		2.00		1.00		0.93		31.44
15		1.00		0.86		2.00		1.00		0.94		27.16
16		1.00		0.91		3.00		1.00		0.93		35.94
17		1.00		0.86		40.00		1.00		0.88		36.39
18		1.00		0.91		3.00		1.00		0.92		17.74
19		1.00		0.91		9.00		0.99		0.91		23.84
20		1.00		0.95		10.00		1.00		0.91		13.60
21		1.00		0.86		4.00		1.00		0.90		21.18
22		1.00		0.95		3.00		1.00		0.89		29.10
23		1.00		0.86		4.00		1.00		0.90		30.49
24		1.00		0.86		33.00		1.00		0.91		14.08
25		1.00		0.82		4.00		1.00		0.90		73.28
26		1.00		0.86		5.00		1.00		0.93		47.82
27		1.00		1.00		5.00		1.00		0.93		51.02
28		1.00		0.82		14.00		1.00		0.93		53.27
29		1.00		0.91		2.00		1.00		0.88		12.31
30		1.00		0.82		2.00		1.00		0.88		12.57
		1.00		0.88		23.23		1.00		0.90		32.94		24.77


Carcinom
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		0.97		0.83		79.00		0.84		0.69		24.87
2		0.93		0.77		16.00		0.76		0.68		9.50
3		0.97		0.89		39.00		0.78		0.68		12.63
4		0.97		0.87		111.00		0.86		0.76		31.76
5		0.98		0.85		66.00		0.84		0.78		38.46
6		0.94		0.83		27.00		0.80		0.72		12.50
7		0.94		0.72		27.00		0.82		0.66		12.50
8		0.93		0.85		338.00		0.91		0.84		282.87
9		0.94		0.87		69.00		0.82		0.76		19.72
10		0.96		0.83		74.00		0.81		0.74		25.88
11		0.96		0.87		86.00		0.79		0.72		19.50
12		0.94		0.68		26.00		0.74		0.53		11.39
13		0.96		0.79		44.00		0.79		0.65		15.07
14		0.95		0.87		83.00		0.87		0.75		22.95
15		0.96		0.83		50.00		0.85		0.68		19.76
16		0.95		0.72		36.00		0.84		0.68		18.43
17		0.95		0.85		47.00		0.81		0.72		13.94
18		0.98		0.75		109.00		0.85		0.68		38.69
19		0.98		0.85		170.00		0.87		0.75		88.16
20		0.96		0.91		119.00		0.79		0.73		24.30
21		0.94		0.81		405.00		0.83		0.74		140.59
22		0.93		0.89		51.00		0.79		0.69		14.81
23		0.97		0.83		67.00		0.79		0.74		17.40
24		0.97		0.81		41.00		0.87		0.76		24.41
25		0.96		0.81		61.00		0.83		0.74		23.32
26		0.95		0.87		32.00		0.82		0.72		13.79
27		0.93		0.87		51.00		0.81		0.80		23.63
28		0.95		0.85		37.00		0.79		0.70		12.00
29		0.94		0.75		48.00		0.79		0.63		16.33
30		0.96		0.94		64.00		0.85		0.81		26.44
		0.95		0.83		82.43		0.82		0.72		35.19		41.86


arcene
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		0.99		0.78		17.00		0.90		0.72		8.33
2		0.95		0.88		55.00		0.86		0.75		17.50
3		0.98		0.82		47.00		0.86		0.73		11.55
4		0.98		0.83		46.00		0.90		0.76		15.46
5		0.96		0.82		141.00		0.91		0.74		62.13
6		0.95		0.82		31.00		0.86		0.76		11.67
7		0.94		0.85		202.00		0.88		0.77		91.21
8		0.98		0.80		21.00		0.91		0.74		11.14
9		0.99		0.82		108.00		0.88		0.75		19.64
10		0.94		0.80		596.00		0.93		0.81		423.51
11		0.95		0.72		32.00		0.88		0.70		11.00
12		0.95		0.88		355.00		0.90		0.79		124.78
13		0.94		0.85		31.00		0.86		0.78		12.00
14		0.96		0.77		243.00		0.89		0.76		59.00
15		0.98		0.73		50.00		0.91		0.75		23.44
16		0.97		0.82		13.00		0.88		0.75		7.22
17		0.96		0.85		147.00		0.89		0.76		24.06
18		0.97		0.83		91.00		0.91		0.80		48.82
19		0.96		0.87		16.00		0.87		0.74		7.33
20		0.96		0.73		420.00		0.91		0.64		119.92
21		0.99		0.80		54.00		0.92		0.77		15.07
22		0.98		0.82		81.00		0.91		0.78		20.00
23		0.94		0.87		56.00		0.90		0.79		70.22
24		0.96		0.77		229.00		0.89		0.75		43.67
25		0.93		0.87		1575.00		0.92		0.85		1426.62
26		0.96		0.78		250.00		0.87		0.74		30.36
27		0.96		0.82		278.00		0.93		0.81		208.92
28		0.96		0.80		16.00		0.87		0.73		6.83
29		0.95		0.82		131.00		0.83		0.74		18.29
30		0.94		0.68		306.00		0.90		0.69		133.88
		0.96		0.81		187.93		0.89		0.76		102.79		59.24


Brain2
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		0.94		0.60		60.00		0.92		0.61		18.53
2		0.97		0.60		15.00		0.96		0.56		10.00
3		0.97		0.93		82.00		0.96		0.68		170.41
4		0.94		0.73		56.00		0.92		0.74		27.37
5		0.94		0.80		137.00		0.83		0.85		78.56
6		1.00		0.53		23.00		0.99		0.57		15.61
7		0.94		0.80		39.00		0.79		0.63		9.71
8		0.97		0.60		13.00		0.87		0.50		5.78
9		0.91		0.60		15.00		0.89		0.62		17.82
10		0.97		0.67		46.00		0.89		0.61		22.67
11		1.00		0.80		15.00		0.95		0.63		10.29
12		0.97		0.73		18.00		0.90		0.56		9.25
13		1.00		0.80		47.00		0.94		0.58		12.37
14		0.97		0.53		30.00		0.93		0.54		15.63
15		0.94		0.73		159.00		0.93		0.73		123.77
16		1.00		0.53		17.00		0.96		0.57		10.50
17		0.97		0.60		76.00		0.96		0.67		68.43
18		0.94		0.73		39.00		0.90		0.67		23.44
19		1.00		0.53		33.00		0.94		0.60		21.73
20		1.00		0.67		13.00		0.86		0.61		7.25
21		1.00		0.67		27.00		0.88		0.57		11.38
22		1.00		0.87		23.00		0.93		0.64		13.18
23		1.00		0.67		26.00		0.85		0.48		8.80
24		1.00		0.53		27.00		0.97		0.60		18.95
25		1.00		0.67		14.00		0.88		0.63		5.80
26		0.94		0.47		7.00		0.83		0.37		4.80
27		1.00		0.60		25.00		0.97		0.61		22.56
28		0.97		0.53		45.00		0.97		0.57		22.88
29		0.97		0.73		10.00		0.88		0.51		4.38
30		1.00		0.53		10.00		0.91		0.51		8.00
		0.98		0.66		38.23		0.91		0.60		26.66		23.12


prostate
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		0.99		0.84		46.00		0.98		0.85		13.82
2		0.97		0.97		48.00		0.95		0.91		36.50
3		0.97		0.87		31.00		0.97		0.88		31.30
4		1.00		0.84		6.00		0.96		0.85		4.25
5		0.99		0.94		9.00		0.98		0.96		14.05
6		0.97		0.84		12.00		0.95		0.78		7.44
7		0.97		0.84		49.00		0.97		0.88		21.58
8		1.00		0.87		9.00		0.93		0.87		4.00
9		1.00		0.87		11.00		0.96		0.94		5.75
10		1.00		0.81		46.00		0.98		0.74		38.42
11		0.97		0.90		72.00		0.97		0.88		59.47
12		1.00		0.90		30.00		1.00		0.89		29.12
13		0.99		0.87		21.00		0.98		0.88		18.34
14		1.00		0.81		10.00		0.97		0.93		6.86
15		1.00		0.84		21.00		0.96		0.93		7.75
16		0.97		0.90		58.00		0.95		0.84		47.41
17		1.00		0.84		22.00		0.99		0.88		16.79
18		1.00		0.84		10.00		0.99		0.87		8.75
19		1.00		0.90		5.00		0.88		0.81		3.00
20		1.00		0.84		19.00		0.96		0.83		10.20
21		1.00		0.84		29.00		1.00		0.82		36.70
22		0.99		0.90		22.00		0.91		0.79		7.20
23		1.00		0.87		32.00		0.98		0.80		22.21
24		0.99		0.87		25.00		0.98		0.84		17.14
